time_window,total_iterations,iterations,converged,qn_columns,deleted_qn_columns,dropped_qn_columns
1,4,4,1,3,0,0
2,7,3,1,5,0,0
3,10,3,1,7,0,0
4,13,3,1,9,0,0
5,16,3,1,11,0,0
6,19,3,1,13,0,0
7,22,3,1,15,0,0
8,24,2,1,16,0,0
9,26,2,1,17,0,0
10,28,2,1,17,1,0
11,30,2,1,16,0,2
12,32,2,1,15,0,2
13,34,2,1,14,0,2
14,36,2,1,13,0,2
15,38,2,1,12,0,2
16,40,2,1,11,0,2
17,42,2,1,10,0,2
18,44,2,1,10,0,1
19,46,2,1,10,0,1
20,48,2,1,10,0,1
21,50,2,1,10,0,1
22,52,2,1,10,0,1
23,54,2,1,10,0,1
24,56,2,1,10,0,1
25,58,2,1,10,0,1
26,60,2,1,10,0,1
27,62,2,1,10,0,1
28,64,2,1,10,0,1
29,66,2,1,10,0,1
30,68,2,1,10,0,1
31,70,2,1,10,0,1
32,72,2,1,10,0,1
33,74,2,1,10,0,1
34,76,2,1,10,0,1
35,78,2,1,10,0,1
36,80,2,1,10,0,1
37,82,2,1,10,0,1
38,84,2,1,10,0,1
39,86,2,1,10,0,1
40,88,2,1,10,0,1
41,90,2,1,10,0,1
42,92,2,1,10,0,1
43,94,2,1,10,0,1
44,96,2,1,10,0,1
45,98,2,1,10,0,1
46,100,2,1,10,0,1
47,102,2,1,10,0,1
48,104,2,1,10,0,1
49,106,2,1,10,0,1
50,108,2,1,10,0,1
51,110,2,1,10,0,1
52,112,2,1,10,0,1
53,114,2,1,10,0,1
54,116,2,1,10,0,1
55,119,3,1,11,1,0
56,121,2,1,11,0,1
57,123,2,1,11,0,1
58,125,2,1,11,0,1
59,127,2,1,11,0,1
60,129,2,1,11,0,1
61,131,2,1,11,0,1
62,133,2,1,11,0,1
63,135,2,1,11,0,1
64,137,2,1,11,0,1
65,139,2,1,10,0,2
66,141,2,1,10,0,1
67,143,2,1,10,0,1
68,145,2,1,10,0,1
69,147,2,1,10,0,1
70,149,2,1,10,0,1
71,151,2,1,10,0,1
72,153,2,1,10,0,1
73,155,2,1,10,0,1
74,157,2,1,10,0,1
75,159,2,1,10,0,1
76,161,2,1,10,0,1
77,163,2,1,10,0,1
78,165,2,1,10,0,1
79,167,2,1,10,0,1
80,169,2,1,10,1,0
81,171,2,1,10,1,0
82,173,2,1,10,1,0
83,175,2,1,10,0,1
84,178,3,1,11,1,0
85,180,2,1,11,0,1
86,183,3,1,11,2,0
87,186,3,1,11,2,0
88,188,2,1,10,2,0
89,190,2,1,11,0,0
90,192,2,1,11,1,0
91,194,2,1,11,0,1
92,196,2,1,11,0,1
93,198,2,1,11,0,1
94,200,2,1,11,0,1
95,202,2,1,11,0,1
96,204,2,1,11,0,1
97,206,2,1,10,0,2
98,208,2,1,10,0,1
99,210,2,1,10,0,1
100,212,2,1,10,0,1
101,214,2,1,10,0,1
102,216,2,1,10,0,1
