time_window,iteration,displacement_abs_or_rel_measure,force_relative_measure
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,6.314879810000000038e-03
1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,5.608822909999999773e-02
1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.933782850000000324e-03
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.930543369999999648e-01
2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.479053689999999699e-02
2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.484974579999999975e-04
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.313268749999999985e-01
3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.903139080000000094e-02
3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,9.584769769999999345e-05
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.042411700000000052e-01
4.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.957478639999999867e-02
4.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.789620870000000047e-06
5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.352620509999999998e-01
5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.407334990000000050e-02
5.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,5.110547239999999867e-06
6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.922489619999999955e-01
6.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.144313930000000028e-02
6.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,5.995477019999999675e-07
7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.638181300000000062e-01
7.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.020501910000000054e-02
7.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.004422139999999979e-07
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.431275630000000132e-01
