time_s,drag_N_per_m,lift_N_per_m
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,3.394736659099999859e-02,-6.448642158199998763e-05
2.000000000000000042e-02,1.057586241800000104e-01,-2.364960749200000205e-04
2.999999999999999889e-02,1.829923310000000081e-01,-1.829071627500000025e-04
4.000000000000000083e-02,2.630411667299999978e-01,-4.914725544499999772e-04
5.000000000000000278e-02,3.472895188199999761e-01,-4.611635291299999635e-04
5.999999999999999778e-02,4.372522899299999821e-01,-7.304881692500000316e-04
7.000000000000000666e-02,5.311768687799999222e-01,-7.637184890799999506e-04
8.000000000000000167e-02,6.267770663199999648e-01,-9.819795559699998674e-04
8.999999999999999667e-02,7.247493126799999796e-01,-1.120893579899999958e-03
1.000000000000000056e-01,8.266110645699999981e-01,-1.247681336000000009e-03
1.100000000000000006e-01,9.316946007399999896e-01,-1.478523445800000030e-03
1.199999999999999956e-01,1.038456644700000098e+00,-1.558381967800000038e-03
1.300000000000000044e-01,1.146930752600000103e+00,-1.825055988400000207e-03
1.400000000000000133e-01,1.258190215199999962e+00,-1.951317683900000155e-03
1.499999999999999944e-01,1.372176292100000028e+00,-2.159077639599999831e-03
1.600000000000000033e-01,1.487821668199999836e+00,-2.378708470499999849e-03
1.700000000000000122e-01,1.604897556500000100e+00,-2.544316828899999879e-03
1.799999999999999933e-01,1.724067825499999929e+00,-2.819483421099999720e-03
1.900000000000000022e-01,1.845475356799999744e+00,-2.968450242099999851e-03
2.000000000000000111e-01,1.968498450600000060e+00,-3.276713501800000098e-03
2.099999999999999922e-01,2.092785828400000270e+00,-3.435162968900000013e-03
2.200000000000000011e-01,2.218688629899999931e+00,-3.749274192699999977e-03
2.300000000000000100e-01,2.346429142799999923e+00,-3.886003074300000033e-03
2.399999999999999911e-01,2.475630419699999862e+00,-4.221705924099999722e-03
2.500000000000000000e-01,2.605983865799999855e+00,-4.405612174199999634e-03
2.600000000000000089e-01,2.737624407099999768e+00,-4.648466755000000422e-03
2.700000000000000178e-01,2.870727316800000040e+00,-4.885383368200000090e-03
2.800000000000000266e-01,3.005120308199999979e+00,-5.113413116499999564e-03
2.899999999999999800e-01,3.140534644699999767e+00,-5.285953193899999708e-03
2.999999999999999889e-01,3.276984973400000278e+00,-5.578324988099999347e-03
3.099999999999999978e-01,3.414600884499999989e+00,-5.683064980599999462e-03
3.200000000000000067e-01,3.553310057499999619e+00,-5.996986793000000024e-03
3.300000000000000155e-01,3.692894776700000214e+00,-6.057787121599999408e-03
3.400000000000000244e-01,3.833300515999999991e+00,-6.404013527299999738e-03
3.499999999999999778e-01,3.974624937400000224e+00,-6.392826092999999085e-03
3.599999999999999867e-01,4.116822867099999783e+00,-6.757415813699999864e-03
3.699999999999999956e-01,4.259732656799999795e+00,-6.739575627599999133e-03
3.800000000000000044e-01,4.403314095799999883e+00,-7.026216076099999625e-03
3.900000000000000133e-01,4.547560758099999489e+00,-7.087313090499999454e-03
4.000000000000000222e-01,4.692485832800000090e+00,-7.287319096400000397e-03
4.099999999999999756e-01,4.837979188500000305e+00,-7.385802341599999495e-03
4.199999999999999845e-01,4.983985760199999504e+00,-7.522796018399999403e-03
4.299999999999999933e-01,5.130441542499999841e+00,-7.590261467100000228e-03
4.400000000000000022e-01,5.277372178200000263e+00,-7.810810813999999845e-03
4.500000000000000111e-01,5.424704839499999487e+00,-7.701766876800000307e-03
4.600000000000000200e-01,5.572358346999999767e+00,-8.004083545399999847e-03
4.699999999999999734e-01,5.720301620199999881e+00,-7.847456727600000265e-03
4.799999999999999822e-01,5.868528904399999746e+00,-8.156399802700000159e-03
4.899999999999999911e-01,6.016887770999999496e+00,-8.035641968399998697e-03
5.000000000000000000e-01,6.165507925899999186e+00,-8.275746867899998888e-03
5.100000000000000089e-01,6.314228928399999496e+00,-8.236760933099999266e-03
5.200000000000000178e-01,6.462981398200000172e+00,-8.412567627900000358e-03
5.300000000000000266e-01,6.611776902499999053e+00,-8.354102678000000295e-03
5.400000000000000355e-01,6.760620261399998832e+00,-8.468320908599998725e-03
5.500000000000000444e-01,6.909406091500000180e+00,-8.517221230599999332e-03
5.600000000000000533e-01,7.058145544199999399e+00,-8.508686443999999641e-03
5.699999999999999512e-01,7.206906765199999398e+00,-8.722005891799999855e-03
5.799999999999999600e-01,7.355442745599999554e+00,-8.644787968899999425e-03
5.899999999999999689e-01,7.503812197400000272e+00,-8.788580472200000285e-03
5.999999999999999778e-01,7.651963591499999495e+00,-8.921812298899999688e-03
6.099999999999999867e-01,7.799875478399998840e+00,-8.849720298299999441e-03
6.199999999999999956e-01,7.947608764099999945e+00,-9.063815694600000153e-03
6.300000000000000044e-01,8.094818840900000367e+00,-9.061361804699999759e-03
6.400000000000000133e-01,8.241709834399999934e+00,-9.231120854399999312e-03
6.500000000000000222e-01,8.388148871800000350e+00,-9.073190726299999384e-03
6.600000000000000311e-01,8.534279664499999640e+00,-9.244775350500000766e-03
6.700000000000000400e-01,8.679932201699999794e+00,-9.134464114000000537e-03
6.800000000000000488e-01,8.825089429300000177e+00,-9.181590873100000175e-03
6.899999999999999467e-01,8.969654230099999737e+00,-9.141388243499999969e-03
6.999999999999999556e-01,9.113724049300000019e+00,-8.960512792999999337e-03
7.099999999999999645e-01,9.257294827199999077e+00,-9.113753433799999873e-03
7.199999999999999734e-01,9.400248363599999379e+00,-8.813244601600000311e-03
7.299999999999999822e-01,9.542571557600000531e+00,-9.020060772499999616e-03
7.399999999999999911e-01,9.684214365000000768e+00,-8.629807611699999437e-03
7.500000000000000000e-01,9.825212156899999272e+00,-8.916483965300000744e-03
7.600000000000000089e-01,9.965402528099998491e+00,-8.502245942799999817e-03
7.700000000000000178e-01,1.010479214699999950e+01,-8.633444994200000638e-03
7.800000000000000266e-01,1.024337678299999865e+01,-8.416392443999999931e-03
7.900000000000000355e-01,1.038073781699999998e+01,-8.226034683899999256e-03
8.000000000000000444e-01,1.051765933699999955e+01,-8.326180543599999082e-03
8.100000000000000533e-01,1.065376396799999981e+01,-7.667093106099999271e-03
8.199999999999999512e-01,1.078851895499999891e+01,-8.690081811700001158e-03
8.299999999999999600e-01,1.092276473999999986e+01,-7.225653069499999789e-03
8.399999999999999689e-01,1.105583260600000095e+01,-7.806488528299999549e-03
8.499999999999999778e-01,1.118830067399999884e+01,-6.829146286700000026e-03
8.599999999999999867e-01,1.131979609100000062e+01,-6.741456497600000104e-03
8.699999999999999956e-01,1.145031011000000021e+01,-6.460703310999999990e-03
8.800000000000000044e-01,1.157984933400000038e+01,-5.895834605699999675e-03
8.900000000000000133e-01,1.170838257800000015e+01,-5.822187732899999739e-03
9.000000000000000222e-01,1.183625393700000039e+01,-5.166561141300000416e-03
9.100000000000000311e-01,1.196272052399999986e+01,-4.572395493000000130e-03
9.200000000000000400e-01,1.208805661599999937e+01,-4.322658874899999726e-03
9.300000000000000488e-01,1.221231720599999981e+01,-3.484209725700000357e-03
9.399999999999999467e-01,1.233524154800000083e+01,-3.198723071399999732e-03
9.499999999999999556e-01,1.245767729499999987e+01,-2.466352688700000021e-03
9.599999999999999645e-01,1.257871016100000006e+01,-1.909485548699999978e-03
9.699999999999999734e-01,1.269830197500000146e+01,-1.285847455099999904e-03
9.799999999999999822e-01,1.281604723499999920e+01,-1.079208577800000023e-03
9.899999999999999911e-01,1.293244212200000121e+01,-5.304601359800000058e-04
1.000000000000000000e+00,1.304814155900000117e+01,-2.760614578699999697e-04
1.010000000000000009e+00,1.316224326000000033e+01,1.232301760599999966e-03
1.020000000000000018e+00,1.327548158200000117e+01,1.317977608499999861e-03
1.030000000000000027e+00,1.338792815700000105e+01,3.101520913500000007e-03
1.040000000000000036e+00,1.349859899900000038e+01,3.211978734999999981e-03
1.050000000000000044e+00,1.360806844699999907e+01,5.186730247899999646e-03
1.060000000000000053e+00,1.371630041999999960e+01,5.360216616499999601e-03
1.070000000000000062e+00,1.382310963900000012e+01,7.021207627200000065e-03
1.080000000000000071e+00,1.392870662900000056e+01,7.871648042899999712e-03
1.090000000000000080e+00,1.403281101499999828e+01,8.932548387399999457e-03
1.100000000000000089e+00,1.413569531599999962e+01,1.017163317299999911e-02
1.110000000000000098e+00,1.423824328499999936e+01,1.123210115299999937e-02
1.120000000000000107e+00,1.433861447800000022e+01,1.279939672999999903e-02
1.129999999999999893e+00,1.443747286700000032e+01,1.349823588100000117e-02
1.139999999999999902e+00,1.453479369200000093e+01,1.494408366699999900e-02
1.149999999999999911e+00,1.463129956999999948e+01,1.736358011999999951e-02
1.159999999999999920e+00,1.472592167400000029e+01,1.753264162099999954e-02
1.169999999999999929e+00,1.481904106499999862e+01,2.045221747999999978e-02
1.179999999999999938e+00,1.491040808899999881e+01,2.043795194199999818e-02
1.189999999999999947e+00,1.500163480400000005e+01,2.232255181800000057e-02
1.199999999999999956e+00,1.508826279300000017e+01,2.381154257500000052e-02
1.209999999999999964e+00,1.517808584099999969e+01,2.444900579499999921e-02
