  TimeWindow  Iteration  ResAbsOrRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   0.00000000e+00   1.00000000e+00
     1       2   0.00000000e+00   6.31487981e-03
     1       3   0.00000000e+00   5.60882291e-02
     1       4   0.00000000e+00   3.93378285e-03
     2       1   0.00000000e+00   6.93054337e-01
     2       2   0.00000000e+00   4.47905369e-02
     2       3   0.00000000e+00   1.48497458e-04
     3       1   0.00000000e+00   4.31326875e-01
     3       2   0.00000000e+00   2.90313908e-02
     3       3   0.00000000e+00   9.58476977e-05
     4       1   0.00000000e+00   3.04241170e-01
     4       2   0.00000000e+00   1.95747864e-02
     4       3   0.00000000e+00   2.78962087e-06
     5       1   0.00000000e+00   2.35262051e-01
     5       2   0.00000000e+00   1.40733499e-02
     5       3   0.00000000e+00   5.11054724e-06
     6       1   0.00000000e+00   1.92248962e-01
     6       2   0.00000000e+00   1.14431393e-02
     6       3   0.00000000e+00   5.99547702e-07
     7       1   0.00000000e+00   1.63818130e-01
     7       2   0.00000000e+00   1.02050191e-02
     7       3   0.00000000e+00   2.00442214e-07
     8       1   0.00000000e+00   1.43127563e-01
     8       2   0.00000000e+00   8.85709056e-03
     9       1   0.00000000e+00   1.26066533e-01
     9       2   0.00000000e+00   7.42837481e-03
    10       1   0.00000000e+00   1.12219308e-01
    10       2   0.00000000e+00   6.54874616e-03
    11       1   0.00000000e+00   1.01714161e-01
    11       2   0.00000000e+00   6.10423144e-03
    12       1   0.00000000e+00   9.32572823e-02
    12       2   0.00000000e+00   5.63806334e-03
    13       1   0.00000000e+00   8.57175821e-02
    13       2   0.00000000e+00   5.05476744e-03
    14       1   0.00000000e+00   7.90107346e-02
    14       2   0.00000000e+00   4.60090256e-03
    15       1   0.00000000e+00   7.34529775e-02
    15       2   0.00000000e+00   4.37064484e-03
    16       1   0.00000000e+00   6.88497897e-02
    16       2   0.00000000e+00   4.15695255e-03
    17       1   0.00000000e+00   6.46117518e-02
    17       2   0.00000000e+00   3.87273700e-03
    18       1   0.00000000e+00   6.06657789e-02
    18       2   0.00000000e+00   3.62877661e-03
    19       1   0.00000000e+00   5.72336619e-02
    19       2   0.00000000e+00   3.48536323e-03
    20       1   0.00000000e+00   5.42748681e-02
    20       2   0.00000000e+00   3.37857253e-03
    21       1   0.00000000e+00   5.15586708e-02
    21       2   0.00000000e+00   3.24183530e-03
    22       1   0.00000000e+00   4.89717883e-02
    22       2   0.00000000e+00   3.10741709e-03
    23       1   0.00000000e+00   4.66169594e-02
    23       2   0.00000000e+00   3.02955356e-03
    24       1   0.00000000e+00   4.45535087e-02
    24       2   0.00000000e+00   2.97693132e-03
    25       1   0.00000000e+00   4.26363131e-02
    25       2   0.00000000e+00   2.91803853e-03
    26       1   0.00000000e+00   4.08062122e-02
    26       2   0.00000000e+00   2.85813409e-03
    27       1   0.00000000e+00   3.90979484e-02
    27       2   0.00000000e+00   2.82204450e-03
    28       1   0.00000000e+00   3.75517149e-02
    28       2   0.00000000e+00   2.80861961e-03
    29       1   0.00000000e+00   3.61247411e-02
    29       2   0.00000000e+00   2.79457808e-03
    30       1   0.00000000e+00   3.47517552e-02
    30       2   0.00000000e+00   2.77990550e-03
    31       1   0.00000000e+00   3.34489884e-02
    31       2   0.00000000e+00   2.77895890e-03
    32       1   0.00000000e+00   3.22506955e-02
    32       2   0.00000000e+00   2.78958906e-03
    33       1   0.00000000e+00   3.11300374e-02
    33       2   0.00000000e+00   2.80493429e-03
    34       1   0.00000000e+00   3.00599488e-02
