  Time  Coordinate0  Coordinate1  Coordinate2  Force0  Force1  Force2  Displacement0  Displacement1  Displacement2
 0.00000000e+00   6.00000000e-01   2.00000000e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e-02   6.00000000e-01   2.00000000e-01   0.00000000e+00  -1.75131424e-04  -2.70842887e-10   9.11909854e-26  -6.71265611e-08  -6.47084449e-11   0.00000000e+00
 2.00000000e-02   6.00000000e-01   2.00000000e-01   0.00000000e+00  -5.47110729e-04  -3.46141589e-09   1.35226091e-25  -2.87739277e-07  -9.95012380e-10   0.00000000e+00
 3.00000000e-02   6.00000000e-01   2.00000000e-01   0.00000000e+00  -9.37500392e-04   4.87873463e-09   1.17239954e-25  -6.00158575e-07  -2.42703913e-09   0.00000000e+00
 4.00000000e-02   6.00000000e-01   2.00000000e-01   0.00000000e+00  -1.32420372e-03  -7.17587091e-09   1.17512493e-24  -8.54805510e-07  -4.21767655e-09   0.00000000e+00
 5.00000000e-02   6.00000000e-01   2.00000000e-01   0.00000000e+00  -1.70714036e-03   1.21456540e-09  -2.49343636e-24  -1.00512406e-06  -7.59620848e-09   0.00000000e+00
 6.00000000e-02   6.00000000e-01   2.00000000e-01   0.00000000e+00  -2.08538683e-03  -3.84895555e-09  -1.82765210e-24  -1.15396405e-06  -1.23355414e-08   0.00000000e+00
 7.00000000e-02   6.00000000e-01   2.00000000e-01   0.00000000e+00  -2.46483999e-03  -4.32699503e-09  -1.26963930e-24  -1.37394420e-06  -1.85246538e-08   0.00000000e+00
 8.00000000e-02   6.00000000e-01   2.00000000e-01   0.00000000e+00  -2.85029988e-03  -3.86545952e-09   5.02906207e-24  -1.58506820e-06  -2.68727764e-08   0.00000000e+00
 9.00000000e-02   6.00000000e-01   2.00000000e-01   0.00000000e+00  -3.23614062e-03  -5.38958701e-09  -3.66280929e-24  -1.72228574e-06  -3.76552154e-08   0.00000000e+00
 1.00000000e-01   6.00000000e-01   2.00000000e-01   0.00000000e+00  -3.61751634e-03  -4.57865454e-09   1.33366905e-24  -1.84416042e-06  -5.13855826e-08   0.00000000e+00
 1.10000000e-01   6.00000000e-01   2.00000000e-01   0.00000000e+00  -3.99835253e-03  -4.53244025e-09  -5.87144305e-24  -2.00586927e-06  -6.88682786e-08   0.00000000e+00
 1.20000000e-01   6.00000000e-01   2.00000000e-01   0.00000000e+00  -4.38214954e-03  -2.17386888e-09  -9.29040340e-25  -2.17470997e-06  -9.09475312e-08   0.00000000e+00
 1.30000000e-01   6.00000000e-01   2.00000000e-01   0.00000000e+00  -4.76664922e-03  -2.09213734e-10   1.11842389e-23  -2.29925295e-06  -1.18388320e-07   0.00000000e+00
 1.40000000e-01   6.00000000e-01   2.00000000e-01   0.00000000e+00  -5.14822983e-03   3.15246981e-09   1.43912649e-25  -2.39734418e-06  -1.52207040e-07   0.00000000e+00
 1.50000000e-01   6.00000000e-01   2.00000000e-01   0.00000000e+00  -5.52775205e-03   7.59649855e-09   1.20743800e-23  -2.51786608e-06  -1.93473554e-07   0.00000000e+00
 1.60000000e-01   6.00000000e-01   2.00000000e-01   0.00000000e+00  -5.90858135e-03   1.25009472e-08   2.95816142e-24  -2.64882717e-06  -2.43193403e-07   0.00000000e+00
 1.70000000e-01   6.00000000e-01   2.00000000e-01   0.00000000e+00  -6.28975773e-03   1.89511414e-08   5.70031368e-24  -2.75203326e-06  -3.02490323e-07   0.00000000e+00
