time_s,ux_m,uy_m
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-6.712656109999999359e-08,-6.470844490000000574e-11
2.000000000000000042e-02,-2.877392769999999790e-07,-9.950123799999999107e-10
2.999999999999999889e-02,-6.001585749999999614e-07,-2.427039129999999977e-09
4.000000000000000083e-02,-8.548055100000000338e-07,-4.217676550000000408e-09
5.000000000000000278e-02,-1.005124059999999947e-06,-7.596208479999999612e-09
5.999999999999999778e-02,-1.153964049999999913e-06,-1.233554139999999981e-08
7.000000000000000666e-02,-1.373944199999999916e-06,-1.852465380000000093e-08
8.000000000000000167e-02,-1.585068199999999921e-06,-2.687277640000000002e-08
8.999999999999999667e-02,-1.722285739999999951e-06,-3.765521540000000119e-08
1.000000000000000056e-01,-1.844160420000000059e-06,-5.138558259999999700e-08
1.100000000000000006e-01,-2.005869269999999841e-06,-6.886827860000000443e-08
1.199999999999999956e-01,-2.174709970000000073e-06,-9.094753119999999765e-08
1.300000000000000044e-01,-2.299252949999999953e-06,-1.183883199999999972e-07
1.400000000000000133e-01,-2.397344180000000074e-06,-1.522070399999999939e-07
1.499999999999999944e-01,-2.517866079999999842e-06,-1.934735539999999993e-07
1.600000000000000033e-01,-2.648827170000000040e-06,-2.431934030000000053e-07
1.700000000000000122e-01,-2.752033260000000027e-06,-3.024903230000000111e-07
1.799999999999999933e-01,-2.832483109999999915e-06,-3.724601980000000181e-07
1.900000000000000022e-01,-2.918665250000000050e-06,-4.541889419999999929e-07
2.000000000000000111e-01,-3.014856410000000198e-06,-5.488700629999999811e-07
2.099999999999999922e-01,-3.095882619999999927e-06,-6.576638220000000214e-07
2.200000000000000011e-01,-3.155446549999999981e-06,-7.817860870000000079e-07
2.300000000000000100e-01,-3.214864820000000203e-06,-9.224050519999999571e-07
2.399999999999999911e-01,-3.279335000000000003e-06,-1.080538770000000104e-06
2.500000000000000000e-01,-3.335326729999999833e-06,-1.257445969999999913e-06
2.600000000000000089e-01,-3.375449300000000015e-06,-1.454314589999999978e-06
2.700000000000000178e-01,-3.409202219999999908e-06,-1.672257630000000105e-06
2.800000000000000266e-01,-3.445816139999999790e-06,-1.912538480000000149e-06
2.899999999999999800e-01,-3.476868070000000124e-06,-2.176146889999999850e-06
2.999999999999999889e-01,-3.495322469999999789e-06,-2.464126410000000136e-06
3.099999999999999978e-01,-3.506726000000000110e-06,-2.777571569999999881e-06
3.200000000000000067e-01,-3.516840900000000073e-06,-3.117416729999999916e-06
3.300000000000000155e-01,-3.523438900000000090e-06,-3.484682750000000175e-06
3.400000000000000244e-01,-3.520470879999999828e-06,-3.880292149999999620e-06
3.499999999999999778e-01,-3.509438849999999916e-06,-4.304887010000000169e-06
3.599999999999999867e-01,-3.495782629999999938e-06,-4.759239699999999698e-06
3.699999999999999956e-01,-3.478366330000000066e-06,-5.244120760000000246e-06
3.800000000000000044e-01,-3.453527480000000211e-06,-5.760070030000000044e-06
3.900000000000000133e-01,-3.421313869999999879e-06,-6.307762040000000350e-06
4.000000000000000222e-01,-3.384602420000000056e-06,-6.887788069999999647e-06
4.099999999999999756e-01,-3.344388010000000033e-06,-7.500567530000000400e-06
4.199999999999999845e-01,-3.297980219999999841e-06,-8.146556139999999781e-06
4.299999999999999933e-01,-3.244678780000000142e-06,-8.826238820000000088e-06
4.400000000000000022e-01,-3.186616030000000034e-06,-9.540025480000000242e-06
4.500000000000000111e-01,-3.124357029999999874e-06,-1.028818259999999959e-05
4.600000000000000200e-01,-3.056869850000000014e-06,-1.107112360000000067e-05
4.699999999999999734e-01,-2.983208819999999892e-06,-1.188917549999999924e-05
4.799999999999999822e-01,-2.904299170000000040e-06,-1.274252649999999954e-05
4.899999999999999911e-01,-2.821755630000000013e-06,-1.363152170000000021e-05
5.000000000000000000e-01,-2.734400260000000123e-06,-1.455626290000000039e-05
5.100000000000000089e-01,-2.640835630000000058e-06,-1.551674010000000107e-05
5.200000000000000178e-01,-2.541664810000000200e-06,-1.651330259999999835e-05
5.300000000000000266e-01,-2.438322340000000163e-06,-1.754638199999999934e-05
5.400000000000000355e-01,-2.331117749999999811e-06,-1.861579270000000160e-05
5.500000000000000444e-01,-2.218755770000000111e-06,-1.971947410000000032e-05
5.600000000000000533e-01,-2.101167940000000059e-06,-2.085865919999999840e-05
5.699999999999999512e-01,-1.979304239999999971e-06,-2.203657710000000042e-05
5.799999999999999600e-01,-1.853101730000000019e-06,-2.325174749999999959e-05
5.899999999999999689e-01,-1.722008130000000045e-06,-2.450337549999999953e-05
5.999999999999999778e-01,-1.586066630000000018e-06,-2.579259509999999892e-05
6.099999999999999867e-01,-1.445865110000000065e-06,-2.711914329999999835e-05
6.199999999999999956e-01,-1.301636419999999932e-06,-2.848280000000000112e-05
6.300000000000000044e-01,-1.152909209999999958e-06,-2.988381770000000118e-05
6.400000000000000133e-01,-9.996110569999999057e-07,-3.132205669999999702e-05
6.500000000000000222e-01,-8.421904700000000103e-07,-3.279741629999999731e-05
6.600000000000000311e-01,-6.808069649999999685e-07,-3.431027659999999978e-05
6.700000000000000400e-01,-5.153345389999999972e-07,-3.586062789999999847e-05
6.800000000000000488e-01,-3.456225720000000065e-07,-3.744824380000000221e-05
6.899999999999999467e-01,-1.718839319999999973e-07,-3.907323129999999678e-05
6.999999999999999556e-01,5.577807540000000409e-09,-4.073568200000000108e-05
7.099999999999999645e-01,1.868770589999999888e-07,-4.243558109999999699e-05
7.199999999999999734e-01,3.720141140000000018e-07,-4.417260159999999687e-05
7.299999999999999822e-01,5.608997700000000126e-07,-4.594639080000000329e-05
7.399999999999999911e-01,7.534849250000000194e-07,-4.775664889999999853e-05
7.500000000000000000e-01,9.496771659999999547e-07,-4.960298339999999917e-05
7.600000000000000089e-01,1.149476119999999948e-06,-5.148487809999999703e-05
7.700000000000000178e-01,1.352823830000000036e-06,-5.340190059999999736e-05
7.800000000000000266e-01,1.559710450000000079e-06,-5.535335399999999844e-05
7.900000000000000355e-01,1.769989719999999973e-06,-5.733808140000000024e-05
8.000000000000000444e-01,1.983381519999999812e-06,-5.935517669999999942e-05
8.100000000000000533e-01,2.199895119999999978e-06,-6.140408650000000362e-05
8.199999999999999512e-01,2.419658179999999806e-06,-6.348464629999999928e-05
8.299999999999999600e-01,2.642625760000000177e-06,-6.559530789999999548e-05
8.399999999999999689e-01,2.868588980000000204e-06,-6.773529390000000044e-05
8.499999999999999778e-01,3.097378439999999912e-06,-6.990470310000000155e-05
8.599999999999999867e-01,3.329257520000000104e-06,-7.210025219999999669e-05
8.699999999999999956e-01,3.563979139999999813e-06,-7.432094549999999629e-05
8.800000000000000044e-01,3.801041850000000095e-06,-7.656882869999999560e-05
8.900000000000000133e-01,4.040598789999999962e-06,-7.884240739999999470e-05
9.000000000000000222e-01,4.283011740000000140e-06,-8.113945870000000438e-05
9.100000000000000311e-01,4.528273360000000260e-06,-8.345920419999999622e-05
9.200000000000000400e-01,4.775809659999999972e-06,-8.580033320000000603e-05
9.300000000000000488e-01,5.025445159999999693e-06,-8.816132080000000672e-05
9.399999999999999467e-01,5.277587480000000413e-06,-9.054100129999999682e-05
9.499999999999999556e-01,5.532197970000000206e-06,-9.293799779999999480e-05
9.599999999999999645e-01,5.788882460000000075e-06,-9.535070979999999915e-05
9.699999999999999734e-01,6.047509660000000010e-06,-9.777778480000000674e-05
9.799999999999999822e-01,6.308234709999999927e-06,-1.002176159999999979e-04
9.899999999999999911e-01,6.571133059999999717e-06,-1.026685970000000000e-04
1.000000000000000000e+00,6.835881239999999771e-06,-1.051292580000000017e-04
1.010000000000000009e+00,7.102267060000000111e-06,-1.075979130000000042e-04
